job_state,job_region,Sector,Company_Age,Avg_Company_Revenue,Avg_Company_Size,Job_Title,Avg_Salary,Min_Salary,Max_Salary,Usr_Rating,Python_y_n,R_y_n,Spark_y_n,AWS_y_n,Excel_y_n
MD,Northeast,Finance,12,1500000000.0,750,Data Scientist,73.5,54,93,4.1,0,0,0,0,1
TX,Southwest,Real Estate,20,1500000000.0,350,Data Scientist,95.0,71,119,3.4,1,0,0,1,1
OH,Midwest,Mining & Metals,135,1500000000.0,350,Data Scientist,107.0,82,132,4.4,1,0,0,1,0
NY,Northeast,Business Services,9,15000000.0,350,Data Scientist,115.0,84,146,4.3,1,0,1,1,0
CA,West,Finance,14,75000000.0,750,Data Scientist,139.5,107,172,3.8,0,0,0,0,0
WA,West,"Oil, Gas, Energy & Utilities",55,750000000.0,3000,Data Scientist,67.0,49,85,3.8,0,0,0,0,0
PA,Northeast,Retail,72,7500000000.0,10000,Data Scientist,85.0,61,109,3.8,1,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,14,1500000.0,125,Data Scientist,118.0,88,148,2.8,1,0,0,0,1
GA,Southeast,Information Technology,17,37500000.0,125,Data Scientist,79.5,60,99,4.7,1,0,0,0,1
MA,Northeast,Business Services,21,150000000.0,350,Data Scientist,56.5,41,72,3.1,1,0,0,0,0
PA,Northeast,Business Services,0,7500000.0,25,Data Scientist,128.5,96,161,3.2,1,0,1,1,0
WA,West,Information Technology,81,15000000000.0,10000,Data Scientist,97.5,65,130,4.0,0,0,0,0,0
IN,Midwest,Information Technology,5,750000.0,25,Research Scientist,66.5,52,81,4.4,1,0,0,0,0
IL,Midwest,Business Services,93,15000000000.0,10000,Data Scientist,179.5,139,220,3.6,1,0,0,0,1
MO,Midwest,Business Services,42,75000000.0,750,Research Scientist,76.0,50,102,2.7,0,0,0,0,1
VA,Southeast,Information Technology,10,150000000.0,750,Data Scientist,112.0,85,139,3.9,1,0,1,0,0
PA,Northeast,Mining & Metals,160,1500000000.0,3000,Data Scientist,98.0,74,122,3.1,1,0,0,0,0
WA,West,Information Technology,81,15000000000.0,10000,Data Scientist,128.0,99,157,4.0,0,0,1,1,0
CA,West,Information Technology,9,1500000000.0,350,Data Scientist,150.5,79,222,4.3,1,0,1,1,1
MA,Northeast,Biotech & Pharmaceuticals,20,15000000.0,125,Research Scientist,87.5,57,118,1.9,0,0,0,1,0
VA,Southeast,Aerospace & Defense,3,1500000000.0,3000,Data Scientist,110.0,83,137,3.3,1,0,0,0,1
CA,West,Information Technology,25,750000000.0,10000,Data Scientist,113.5,86,141,4.4,1,0,0,0,1
CA,West,Health Care,4,1500000.0,125,Data Scientist,124.0,94,154,3.9,1,0,0,0,0
PA,Northeast,Business Services,23,37500000.0,350,Data Analyst,56.5,37,76,4.7,0,0,0,0,1
MD,Northeast,Aerospace & Defense,78,1500000000.0,7500,Data Scientist,130.0,100,160,4.5,1,0,0,0,1
IL,Midwest,Information Technology,12,15000000.0,125,Data Analyst,77.5,55,100,4.3,0,0,0,0,1
VA,Southeast,Business Services,18,75000000.0,350,Data Engineer,87.0,60,114,4.0,1,0,0,1,1
WA,West,Business Services,72,150000000.0,750,Data Analyst,53.5,39,68,4.4,0,0,0,0,1
TX,Southwest,Retail,58,15000000000.0,10000,Data Scientist,139.0,106,172,3.2,0,0,0,0,0
CA,West,Business Services,15,37500000.0,350,Data Scientist,114.0,86,142,3.8,1,0,1,1,1
FL,Southeast,Information Technology,12,150000000.0,750,Data Scientist,85.5,64,107,4.2,1,0,1,0,1
AL,Southeast,Information Technology,24,37500000.0,125,Research Scientist,48.0,31,65,4.5,0,0,0,0,1
LA,Southeast,Information Technology,21,150000000.0,125,Data Analyst,48.0,34,62,3.5,0,0,0,0,1
CA,West,Biotech & Pharmaceuticals,30,150000000.0,350,Research Scientist,174.0,117,231,3.5,0,0,0,0,1
GA,Southeast,Finance,52,1500000000.0,7500,Data Scientist,85.0,64,106,3.9,1,0,1,0,0
MD,Northeast,Information Technology,17,15000000.0,125,Research Scientist,106.5,79,134,4.7,0,0,0,0,0
MD,Northeast,Information Technology,32,150000000.0,3000,Data Scientist,72.5,52,93,4.2,0,0,0,0,1
MD,Northeast,Information Technology,24,15000000000.0,10000,Research Scientist,85.5,55,116,3.4,0,0,0,0,0
VA,Southeast,Government,62,1500000000.0,7500,Data Scientist,97.5,72,123,3.2,1,0,0,0,1
VA,Southeast,Information Technology,10,150000000.0,750,Data Scientist,99.0,74,124,3.9,1,0,0,0,1
WI,Midwest,Insurance,19,3000000000.0,3000,Data Analyst,56.5,40,73,3.1,0,0,0,0,1
MD,Northeast,Information Technology,13,750000.0,25,Data Scientist,133.0,102,164,4.1,1,0,0,0,0
NY,Northeast,Business Services,8,150000000.0,125,Data Scientist,121.0,89,153,3.8,1,0,1,0,0
NY,Northeast,Business Services,28,1500000000.0,750,Data Scientist,85.5,61,110,4.7,1,0,0,0,0
TX,Southwest,Education,5,150000000.0,3000,Data Scientist,87.5,65,110,4.3,1,0,0,0,0
DC,Northeast,Business Services,85,150000000.0,3000,Data Scientist,237.5,200,275,4.2,1,0,0,0,1
NC,Southeast,Information Technology,23,150000000.0,3000,Data Engineer,95.5,68,123,3.9,1,0,1,0,0
MI,Midwest,Manufacturing,26,7500000000.0,10000,Data Scientist,104.5,80,129,3.3,1,0,1,1,1
NJ,Northeast,Information Technology,8,1500000000.0,350,Data Analyst,56.5,41,72,4.7,0,0,0,0,1
AZ,Southwest,Information Technology,10,37500000.0,350,Data Analyst,55.0,39,71,4.3,0,0,0,0,1
NE,Midwest,Health Care,43,150000000.0,3000,Research Scientist,61.5,38,85,2.9,0,0,0,0,1
CA,West,Information Technology,14,150000000.0,350,Data Scientist,157.0,121,193,4.5,0,0,1,1,0
NJ,Northeast,Information Technology,1,1500000000.0,350,Data Engineer,78.0,54,102,3.4,1,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,239,15000000000.0,10000,Data Scientist,113.5,83,144,3.7,1,0,1,0,0
NY,Northeast,Information Technology,11,150000000.0,125,Data Scientist,140.0,120,160,4.6,1,0,1,0,0
CA,West,Information Technology,5,150000000.0,125,Data Scientist,132.5,102,163,3.2,0,0,1,0,1
CA,West,Information Technology,38,3000000000.0,7500,Data Engineer,108.0,76,140,4.0,1,0,1,0,0
IN,Midwest,Agriculture & Forestry,83,75000000.0,750,Data Scientist,80.5,60,101,4.6,0,0,0,0,0
MD,Northeast,Health Care,20,1500000000.0,350,Data Scientist,107.5,82,133,2.8,1,0,0,0,0
MN,Midwest,Business Services,24,37500000.0,125,Data Engineer,95.0,65,125,4.7,0,0,1,1,0
CA,West,Health Care,23,150000000.0,3000,Data Scientist,119.5,91,148,3.0,1,0,1,0,0
NC,Southeast,Business Services,20,1500000000.0,3000,Data Engineer,134.0,95,173,3.2,0,0,1,1,0
MA,Northeast,Information Technology,21,1500000000.0,350,Data Scientist,100.5,77,124,4.4,1,0,0,0,1
OH,Midwest,Media,142,750000000.0,3000,Data Scientist,107.5,80,135,3.5,1,0,0,0,0
DC,Northeast,Information Technology,5,150000000.0,125,Data Engineer,122.0,85,159,4.0,1,0,1,1,0
IL,Midwest,Real Estate,27,3000000000.0,3000,Data Engineer,92.5,80,105,4.3,1,0,1,0,1
MD,Northeast,Business Services,34,150000000.0,750,Data Analyst,62.0,43,81,2.3,0,0,0,0,1
AL,Southeast,Business Services,20,37500000.0,125,Research Scientist,39.5,29,50,4.0,0,0,0,0,0
CA,West,Manufacturing,54,150000000.0,3000,Data Scientist,107.5,82,133,3.6,0,0,0,0,1
MO,Midwest,Business Services,3,1500000000.0,750,Data Scientist,40.5,26,55,3.8,1,0,0,1,1
VA,Southeast,Information Technology,62,15000000000.0,10000,Data Scientist,89.5,61,118,3.7,1,0,1,0,0
IL,Midwest,Business Services,12,75000000.0,350,Data Scientist,81.0,60,102,4.4,1,0,0,1,1
VA,Southeast,Information Technology,8,150000000.0,750,Data Scientist,147.0,112,182,4.0,1,0,0,1,0
TX,Southwest,Finance,62,150000000.0,3000,Data Scientist,85.0,64,106,3.2,1,0,0,0,1
CA,West,Manufacturing,49,1500000000.0,3000,Research Scientist,81.5,51,112,2.9,0,0,0,0,1
CA,West,Biotech & Pharmaceuticals,23,750000000.0,3000,Research Scientist,168.0,113,223,3.8,0,0,0,0,1
CO,West,Aerospace & Defense,13,750000.0,25,Machine Learning Engineer,100.5,72,129,4.3,1,0,1,1,1
NY,Northeast,Business Services,77,150000000.0,3000,Data Scientist,97.0,71,123,3.4,1,0,1,0,1
VA,Southeast,Business Services,52,1500000000.0,7500,Data Scientist,85.0,64,106,4.1,0,0,0,0,0
CA,West,Information Technology,9,1500000000.0,350,Data Scientist,153.5,118,189,4.3,1,0,1,1,1
FL,Southeast,Information Technology,3,150000000.0,125,Data Engineer,132.5,120,145,5.0,0,0,0,0,0
IL,Midwest,Information Technology,12,15000000.0,125,Data Engineer,100.0,80,120,4.3,0,0,1,0,1
CO,West,Travel & Tourism,9,1500000000.0,350,Data Scientist,105.0,80,130,3.7,1,0,0,0,0
UT,West,Non-Profit,0,15000000000.0,10000,Data Engineer,87.0,59,115,4.2,0,0,0,1,1
CA,West,Real Estate,7,150000000.0,125,Data Analyst,103.5,71,136,4.3,0,0,0,0,1
PA,Northeast,Education,36,1500000000.0,750,Research Scientist,124.0,81,167,2.6,1,0,0,0,1
WA,West,"Oil, Gas, Energy & Utilities",55,750000000.0,3000,Data Scientist,67.0,49,85,3.8,1,0,0,0,0
DC,Northeast,Information Technology,20,3000000000.0,10000,Data Engineer,87.0,60,114,3.9,0,0,0,0,0
IL,Midwest,Information Technology,9,1500000000.0,350,Data Scientist,137.5,71,204,4.3,1,0,1,1,1
OH,Midwest,Business Services,33,150000000.0,350,Data Scientist,100.0,75,125,3.8,1,0,0,0,1
TN,Southeast,Insurance,75,7500000000.0,7500,Data Engineer,106.5,77,136,3.8,0,0,0,0,1
WA,West,"Oil, Gas, Energy & Utilities",55,750000000.0,3000,Data Scientist,98.5,74,123,3.8,0,0,0,0,0
FL,Southeast,Business Services,10,150000000.0,750,Data Analyst,61.0,44,78,4.8,1,0,0,0,1
IN,Midwest,Business Services,12,150000000.0,125,Data Scientist,106.5,65,148,4.4,1,0,1,1,0
MA,Northeast,Information Technology,15,150000000.0,125,Data Engineer,84.5,59,110,3.9,1,0,1,0,0
NJ,Northeast,Manufacturing,174,3000000000.0,3000,Manager,109.5,85,134,3.4,1,0,0,0,1
MA,Northeast,Insurance,169,15000000000.0,7500,Data Scientist,164.0,124,204,3.6,1,0,1,1,0
CA,West,Biotech & Pharmaceuticals,44,15000000000.0,10000,Data Scientist,169.0,131,207,3.9,1,0,1,0,1
CA,West,Telecommunications,24,3000000000.0,7500,Data Scientist,142.0,110,174,3.8,1,0,1,1,1
MA,Northeast,Biotech & Pharmaceuticals,239,15000000000.0,10000,Research Scientist,76.5,52,101,3.7,0,0,0,0,1
MD,Northeast,Insurance,39,750000000.0,750,Data Scientist,107.0,81,133,3.8,1,0,0,0,1
CA,West,Information Technology,50,15000000000.0,10000,Data Scientist,171.5,132,211,3.5,1,0,0,1,0
TX,Southwest,Insurance,7,1500000000.0,350,Data Scientist,96.0,73,119,3.9,0,0,0,0,1
CA,West,Information Technology,10,150000000.0,125,Data Scientist,142.5,110,175,4.2,0,0,0,0,0
UT,West,Non-Profit,0,15000000000.0,10000,Data Engineer,107.0,74,140,4.2,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,10,1500000000.0,3000,Research Scientist,145.0,100,190,3.5,1,0,0,0,1
VA,Southeast,Education,27,37500000.0,350,Data Analyst,61.5,43,80,2.9,1,0,0,0,1
PA,Northeast,Health Care,3,3000000000.0,7500,Research Scientist,20.5,34,48,3.6,0,0,0,0,0
WI,Midwest,Finance,69,75000000.0,125,Data Scientist,120.0,91,149,2.7,1,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,7,150000000.0,350,Research Scientist,62.0,42,82,4.4,0,0,0,0,0
CA,West,Information Technology,38,3000000000.0,7500,Data Scientist,150.5,116,185,4.0,1,0,1,0,0
MI,Midwest,Business Services,53,1500000000.0,350,Manager,87.5,59,116,4.3,0,0,0,0,1
FL,Southeast,Business Services,14,37500000.0,125,Data Engineer,71.5,48,95,4.2,1,0,1,1,1
CA,West,Retail,14,150000000.0,125,Data Analyst,51.5,31,72,3.6,0,0,0,0,1
CA,West,Biotech & Pharmaceuticals,239,15000000000.0,10000,Research Scientist,151.5,105,198,3.7,0,0,0,0,1
NJ,Northeast,Information Technology,6,1500000000.0,350,Data Analyst,77.5,55,100,2.8,1,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,239,15000000000.0,10000,Research Scientist,140.0,98,182,3.7,0,0,0,0,1
NJ,Northeast,Insurance,38,15000000.0,3000,Data Scientist,98.5,73,124,3.3,0,0,0,0,1
CA,West,Information Technology,3,7500000.0,125,Data Scientist,225.0,200,250,0.0,1,0,0,1,1
DE,Northeast,Health Care,85,150000000.0,3000,Research Scientist,27.5,42,68,3.6,0,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,239,15000000000.0,10000,Research Scientist,161.5,117,206,3.7,0,0,0,0,0
NY,Northeast,Insurance,72,1500000000.0,3000,Data Scientist,147.0,111,183,3.4,1,0,1,1,0
MO,Midwest,"Oil, Gas, Energy & Utilities",59,1500000000.0,750,Data Analyst,61.0,44,78,4.1,0,0,0,0,1
PA,Northeast,Education,36,1500000000.0,750,Machine Learning Engineer,120.0,81,159,2.6,1,0,0,0,0
AZ,Southwest,Finance,12,750000000.0,3000,Data Scientist,124.5,83,166,3.2,1,0,0,0,1
CA,West,Finance,11,75000000.0,125,Data Scientist,148.0,114,182,3.9,1,0,0,0,0
AL,Southeast,Aerospace & Defense,24,37500000.0,125,Data Analyst,59.0,42,76,4.7,1,0,0,0,1
MA,Northeast,Insurance,168,7500000000.0,7500,Data Scientist,146.5,114,179,3.7,1,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,0,1500000000.0,350,Research Scientist,91.5,60,123,2.9,0,0,0,0,1
IL,Midwest,Biotech & Pharmaceuticals,5,1500000000.0,750,Data Scientist,133.0,100,166,3.0,1,0,0,1,0
UT,West,Biotech & Pharmaceuticals,7,1500000.0,125,Data Scientist,140.5,108,173,4.7,1,0,0,1,0
LA,Southeast,Information Technology,0,1500000000.0,750,Data Engineer,70.5,48,93,3.7,0,0,0,0,1
NY,Northeast,Health Care,6,750000000.0,10000,Research Scientist,84.5,54,115,3.3,0,0,0,0,0
MD,Northeast,Information Technology,18,7500000.0,125,Data Engineer,93.5,60,127,4.0,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,7,150000000.0,350,Research Scientist,134.5,90,179,4.4,0,0,0,0,0
CA,West,Information Technology,13,15000000.0,350,Machine Learning Engineer,181.0,138,224,3.9,1,0,1,0,0
NY,Northeast,Health Care,6,750000000.0,10000,Research Scientist,84.5,54,115,3.3,0,0,0,0,0
CA,West,Information Technology,10,75000000.0,125,Data Engineer,205.0,190,220,4.1,1,0,1,1,0
CA,West,"Arts, Entertainment & Recreation",34,150000000.0,3000,Data Analyst,48.5,35,62,3.6,0,0,0,0,1
TX,Southwest,Health Care,43,75000000.0,3000,Research Scientist,21.5,36,50,4.0,0,0,0,1,0
IL,Midwest,Manufacturing,0,150000000.0,750,Research Scientist,52.5,39,66,2.4,0,0,0,0,0
PA,Northeast,Education,36,1500000000.0,750,Machine Learning Engineer,124.0,81,167,2.6,0,0,0,0,0
CA,West,Health Care,24,750000000.0,750,Data Scientist,64.0,42,86,3.5,0,0,0,0,0
TN,Southeast,Retail,62,15000000000.0,10000,Data Engineer,98.0,69,127,3.0,1,0,0,0,0
DE,Northeast,Health Care,85,150000000.0,3000,Research Scientist,27.5,42,68,3.6,0,0,0,0,0
WI,Midwest,Manufacturing,56,1500000000.0,750,Research Scientist,54.0,40,68,3.3,0,0,0,0,0
MD,Northeast,Biotech & Pharmaceuticals,59,37500000.0,350,Research Scientist,81.0,49,113,2.7,0,0,0,0,1
IL,Midwest,Transportation & Logistics,15,3000000000.0,3000,Data Engineer,107.5,75,140,3.4,0,0,0,0,0
IL,Midwest,Transportation & Logistics,25,1500000000.0,750,Data Scientist,112.5,86,139,3.8,1,0,0,1,1
VA,Southeast,Aerospace & Defense,25,15000000000.0,10000,Data Scientist,89.0,66,112,3.7,1,0,1,0,1
WI,Midwest,Insurance,95,1500000000.0,3000,Data Scientist,100.5,76,125,4.8,0,0,0,0,0
NY,Northeast,Travel & Tourism,18,3000000000.0,3000,Data Analyst,65.0,44,86,3.8,0,0,0,0,1
LA,Southeast,Government,90,15000000000.0,10000,Research Scientist,20.0,30,50,3.4,0,0,0,0,0
TX,Southwest,Business Services,21,1500000000.0,350,Data Scientist,72.5,53,92,4.3,1,0,1,1,1
FL,Southeast,Business Services,10,150000000.0,750,Data Analyst,61.0,44,78,4.8,1,0,0,0,1
NJ,Northeast,Manufacturing,174,3000000000.0,3000,Manager,109.5,85,134,3.4,1,0,0,0,1
MA,Northeast,Information Technology,15,150000000.0,125,Data Engineer,84.5,59,110,3.9,1,0,1,0,0
IL,Midwest,Business Services,28,15000000.0,125,Data Scientist,87.5,64,111,3.4,0,0,0,0,0
CA,West,Media,23,15000000000.0,3000,Data Analyst,92.5,65,120,3.1,1,1,0,0,1
VA,Southeast,Government,62,1500000000.0,7500,Data Scientist,81.5,60,103,3.2,1,0,1,0,0
OH,Midwest,Transportation & Logistics,39,150000000.0,3000,Data Analyst,79.0,53,105,4.3,0,0,0,0,0
MA,Northeast,Insurance,169,15000000000.0,7500,Data Scientist,164.0,124,204,3.6,1,0,1,1,0
CA,West,Biotech & Pharmaceuticals,44,15000000000.0,10000,Data Scientist,169.0,131,207,3.9,1,0,1,0,1
CA,West,Telecommunications,24,3000000000.0,7500,Data Scientist,142.0,110,174,3.8,1,0,1,1,1
CA,West,Non-Profit,0,75000000.0,750,Data Analyst,47.5,33,62,2.8,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,239,15000000000.0,10000,Research Scientist,76.5,52,101,3.7,0,0,0,0,1
CA,West,Information Technology,7,150000000.0,125,Data Analyst,69.0,48,90,3.4,1,0,0,0,1
ID,West,Information Technology,36,75000000.0,350,Data Analyst,49.0,34,64,4.0,1,1,0,0,1
CA,West,Information Technology,50,15000000000.0,10000,Data Scientist,171.5,132,211,3.5,1,0,0,1,0
MD,Northeast,Insurance,39,750000000.0,750,Data Scientist,107.0,81,133,3.8,1,0,0,0,1
NJ,Northeast,Information Technology,24,1500000000.0,350,Data Analyst,59.0,42,76,3.7,0,0,0,0,1
IN,Midwest,Information Technology,1,37500000.0,350,Data Scientist,88.5,66,111,3.5,0,0,0,1,0
UT,West,Non-Profit,0,15000000000.0,10000,Data Engineer,107.0,74,140,4.2,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,171,15000000000.0,10000,Data Scientist,86.5,63,110,4.0,1,0,0,1,1
KY,Southeast,Transportation & Logistics,85,15000000.0,125,Data Scientist,84.0,63,105,4.3,1,0,0,0,1
NY,Northeast,Business Services,28,75000000.0,350,Data Scientist,114.5,91,138,4.7,1,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,10,1500000000.0,3000,Research Scientist,145.0,100,190,3.5,1,0,0,0,1
TN,Southeast,Information Technology,14,150000000.0,3000,Data Engineer,88.0,62,114,4.4,1,0,1,1,1
IL,Midwest,Information Technology,19,150000000.0,750,Data Engineer,100.0,71,129,4.1,1,0,1,1,0
VA,Southeast,Education,27,37500000.0,350,Data Analyst,61.5,43,80,2.9,1,0,0,0,1
OR,West,Business Services,21,1500000000.0,3000,Data Scientist,96.5,74,119,2.5,1,0,1,0,0
MN,Midwest,Business Services,28,1500000000.0,350,Data Analyst,76.0,55,97,4.2,1,0,0,0,1
NY,Northeast,Business Services,54,150000000.0,3000,Data Scientist,15.5,15,16,3.9,0,0,0,0,1
TX,Southwest,Business Services,10,750000.0,25,Data Scientist,83.5,61,106,4.3,1,0,0,0,1
WI,Midwest,Finance,69,75000000.0,125,Data Scientist,120.0,91,149,2.7,1,0,0,0,0
CA,West,Biotech & Pharmaceuticals,44,15000000000.0,10000,Data Scientist,163.0,127,199,3.9,0,0,0,0,1
RI,Northeast,Insurance,81,1500000000.0,750,Data Analyst,100.0,74,126,3.4,0,0,0,1,0
NE,Midwest,Non-Profit,103,150000000.0,3000,Research Scientist,52.5,33,72,3.8,0,0,0,0,1
PA,Northeast,Health Care,3,3000000000.0,7500,Research Scientist,20.5,34,48,3.6,0,0,0,0,0
DC,Northeast,Health Care,137,1500000000.0,750,Data Analyst,50.0,37,63,3.3,0,0,0,0,1
TX,Southwest,Business Services,14,75000000.0,350,Data Engineer,93.0,67,119,3.4,1,0,0,1,0
OH,Midwest,Insurance,133,3000000000.0,3000,Data Scientist,94.5,72,117,3.0,1,0,0,0,0
CA,West,Information Technology,38,3000000000.0,7500,Data Scientist,150.5,116,185,4.0,1,0,1,0,0
NC,Southeast,Insurance,16,7500000000.0,3000,Data Scientist,102.0,78,126,3.7,1,0,1,1,1
MA,Northeast,Biotech & Pharmaceuticals,7,150000000.0,350,Research Scientist,62.0,42,82,4.4,0,0,0,0,0
MI,Midwest,Business Services,53,1500000000.0,350,Manager,87.5,59,116,4.3,0,0,0,0,1
CT,Northeast,Biotech & Pharmaceuticals,171,15000000000.0,10000,Data Scientist,84.0,63,105,4.0,0,0,0,1,1
